frame,BL_x,BL_y,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,VP_x,VP_y,Clss
1,183,140,204,94,518,94,578,140,285,-83,TP
2,179,141,200,95,518,94,579,141,283,-86,TP
3,181,139,202,99,525,98,577,139,296,-80,TP
4,184,138,202,97,524,98,575,138,284,-89,TP
5,182,139,202,95,521,95,578,142,288,-94,TP
6,182,138,203,94,518,95,576,139,286,-79,TP
7,183,140,201,97,522,97,579,139,276,-82,TP
8,183,140,202,96,521,97,578,139,278,-80,TP
9,181,141,202,96,520,97,579,140,282,-75,TP
10,182,138,201,97,522,98,578,138,280,-73,TP
11,184,138,203,95,518,97,575,138,278,-74,TP
12,183,138,200,97,520,95,576,138,277,-88,TP
13,182,139,201,96,522,97,578,139,280,-82,TP
14,183,137,203,97,523,97,574,136,291,-79,TP
15,185,137,202,97,522,94,575,137,284,-95,TP
16,185,137,201,99,525,101,575,139,278,-83,TP
17,180,140,202,96,521,95,580,141,291,-82,TP
18,184,137,202,98,524,97,574,137,289,-90,TP
19,183,139,202,98,525,98,578,140,288,-87,TP
20,182,138,201,98,523,97,576,138,287,-83,TP
21,182,138,202,97,521,98,576,138,285,-73,TP
22,183,138,203,100,526,101,578,138,290,-65,TP
23,182,138,203,96,521,97,577,138,287,-72,TP
24,182,138,201,99,527,100,577,140,292,-87,TP
25,182,139,202,97,523,98,577,139,286,-79,TP
26,182,138,202,98,524,98,577,139,291,-80,TP
27,182,139,201,98,525,99,577,140,287,-87,TP
28,183,140,200,101,528,102,580,140,278,-77,TP
29,184,138,200,96,518,95,579,138,267,-79,TP
