frame,BL_x,BL_y,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,VP_x,VP_y,Clss
1,0,0,0,0,0,0,0,0,-2147483648,-2147483648,N
2,122,217,202,128,577,129,645,217,403,-95,P
3,121,216,203,130,577,131,645,214,403,-79,P
4,122,217,202,126,576,127,644,217,402,-101,P
5,122,218,201,128,576,127,646,218,401,-99,P
6,121,216,203,130,575,130,642,216,407,-83,P
7,122,218,202,131,579,131,648,219,405,-89,P
8,124,214,203,129,576,127,640,212,409,-92,P
9,123,215,201,130,577,130,640,214,407,-94,P
10,121,216,200,130,579,130,642,216,410,-98,P
11,122,217,203,130,578,129,643,217,412,-94,P
12,124,217,205,130,576,130,643,214,404,-83,P
13,122,216,203,129,577,129,642,214,408,-91,P
14,122,217,200,130,575,129,643,217,401,-94,P
15,119,217,202,127,576,128,642,214,405,-93,P
16,121,217,203,129,577,128,642,215,410,-93,P
17,122,215,202,130,576,129,640,213,409,-89,P
18,121,218,202,127,575,126,645,215,400,-95,P
19,119,217,206,131,576,131,641,215,415,-75,P
20,121,216,202,130,574,129,642,214,403,-83,P
21,120,216,204,129,574,126,643,215,410,-84,P
22,123,216,204,129,577,129,640,215,412,-94,P
23,121,217,202,130,575,131,638,215,408,-91,P
24,120,217,202,128,573,126,641,214,404,-91,P
25,122,215,200,130,579,130,640,213,410,-98,P
26,121,218,205,129,576,130,646,216,403,-80,P
27,120,215,201,130,573,127,636,211,410,-89,P
28,121,217,204,128,574,129,639,216,409,-91,P
29,123,215,204,129,574,130,639,211,403,-82,P
30,121,216,202,129,575,130,636,214,411,-95,P
31,123,216,202,129,574,129,638,213,404,-93,P
32,119,215,203,129,576,129,644,216,410,-82,P
33,122,216,201,130,578,129,638,213,413,-100,P
34,120,217,202,131,578,130,641,214,412,-89,P
35,120,217,203,130,576,130,641,214,408,-84,P
36,120,217,204,128,574,127,642,217,409,-89,P
37,121,216,201,129,575,131,637,215,407,-95,P
38,121,219,202,127,574,126,644,218,401,-99,P
39,120,218,201,130,576,131,644,215,400,-86,P
40,119,215,204,127,572,125,639,213,410,-86,P
41,121,214,202,127,572,125,638,210,404,-89,P
