frame,BL_x,BL_y,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,VP_x,VP_y,Clss
1,113,194,155,121,523,121,607,193,276,-89,P
2,110,196,158,121,524,120,610,195,289,-83,P
3,111,196,155,122,526,120,609,193,283,-93,P
4,115,193,160,124,528,125,601,193,298,-87,P
5,112,195,161,122,528,121,607,195,303,-89,P
6,110,195,156,125,530,126,603,192,294,-85,P
7,111,193,156,125,530,124,606,193,296,-86,P
8,115,193,156,124,528,125,604,192,283,-89,P
9,112,192,157,122,525,121,604,188,287,-80,P
10,114,192,157,124,526,123,602,190,289,-84,P
11,113,191,156,124,527,123,597,188,294,-91,P
12,112,192,154,124,528,123,601,190,289,-94,P
13,112,193,153,127,534,127,605,195,295,-101,P
14,109,191,153,123,527,124,602,189,286,-82,P
15,111,192,156,124,528,124,604,190,291,-80,P
16,111,192,155,125,530,127,601,193,296,-89,P
17,110,190,156,122,528,123,602,189,295,-83,P
18,111,193,156,125,529,125,603,191,294,-83,P
19,110,194,157,123,526,123,603,194,296,-86,P
20,111,193,154,125,530,126,602,194,294,-96,P
21,112,193,157,122,525,121,603,191,290,-87,P
22,112,193,153,128,530,126,602,191,290,-89,P
23,116,188,155,128,532,126,600,188,296,-88,P
24,115,188,151,135,542,135,601,186,295,-77,P
25,121,183,148,144,552,144,593,182,305,-82,P
26,119,180,145,139,547,141,592,178,281,-75,P
27,121,180,150,136,546,137,595,180,294,-82,P
28,122,179,149,137,543,136,592,178,289,-80,P
29,117,180,147,139,546,138,592,180,307,-79,P
30,118,183,151,135,539,133,594,181,297,-77,P
31,125,177,146,139,544,140,586,178,278,-99,P
32,119,182,149,139,546,138,596,179,293,-67,P
33,125,180,151,134,537,133,590,178,276,-87,P
34,128,173,152,131,537,130,584,172,282,-96,P
35,120,178,148,133,540,134,590,177,284,-85,P
36,125,178,151,139,546,140,590,178,294,-75,P
37,122,182,148,138,548,138,591,180,294,-109,P
38,120,180,149,134,540,134,592,179,287,-84,P
39,122,179,151,139,548,136,594,180,314,-85,P
40,117,186,145,143,549,142,601,185,286,-73,P
41,116,185,147,135,539,133,594,181,285,-87,P
42,120,183,146,140,546,138,595,181,285,-89,P
43,120,183,150,139,545,139,597,184,296,-75,P
44,116,184,147,134,541,131,595,181,291,-98,P
45,116,183,148,133,537,133,593,182,287,-84,P
46,121,185,146,138,544,135,595,184,281,-115,P
47,122,183,145,144,550,142,593,181,286,-95,P
48,121,182,149,134,541,133,593,180,284,-97,P
49,119,180,147,133,535,133,591,179,274,-80,P
50,119,185,151,136,541,137,594,183,291,-78,P
51,120,181,149,141,549,141,594,182,308,-78,P
52,121,181,150,135,543,135,594,178,286,-80,P
53,120,183,150,132,537,131,597,181,277,-83,P
54,123,181,149,138,545,137,596,179,281,-80,P
55,121,178,149,138,544,135,593,178,300,-77,P
56,120,178,151,135,541,133,589,179,311,-86,P
57,119,183,154,131,536,131,591,178,293,-75,P
58,117,186,146,135,544,133,601,187,286,-111,P
59,119,185,152,132,533,130,597,184,284,-80,P
60,123,181,151,136,544,136,594,181,292,-90,P
61,123,180,148,141,548,142,594,177,278,-61,P
62,120,179,142,143,548,142,591,178,279,-81,P
63,123,176,149,141,550,140,588,175,312,-78,P
64,123,176,145,143,551,142,590,175,291,-76,P
65,124,178,149,138,545,140,583,177,298,-100,P
66,119,184,148,139,547,139,596,183,294,-87,P
67,118,181,150,136,544,137,591,180,304,-80,P
68,120,181,151,137,546,138,595,180,299,-73,P
69,119,183,149,140,548,140,594,180,299,-75,P
70,117,185,150,140,547,139,593,182,311,-79,P
71,117,186,149,134,541,133,598,188,295,-103,P
72,114,186,147,139,546,139,599,187,302,-81,P
