frame,BL_x,BL_y,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,VP_x,VP_y,Clss
1,58,272,158,181,657,182,700,273,506,-135,P
2,57,271,157,178,656,178,698,268,504,-144,P
3,53,270,160,175,657,175,700,269,513,-138,P
4,47,280,155,182,659,179,700,280,524,-152,P
5,61,263,156,177,656,176,694,261,512,-145,P
6,63,261,151,181,655,179,692,261,509,-144,P
7,65,262,153,181,658,180,694,261,511,-148,P
8,63,262,153,179,658,179,694,263,514,-153,P
9,54,272,158,179,657,178,698,268,512,-137,P
10,54,272,155,180,657,180,699,271,508,-141,P
11,53,273,155,179,656,178,700,270,503,-141,P
12,59,267,160,178,655,177,695,266,514,-133,P
13,55,271,155,178,659,178,698,269,515,-156,P
14,51,268,158,176,656,174,694,266,526,-140,P
15,52,273,158,178,656,176,698,271,515,-141,P
16,50,278,154,180,655,179,697,275,509,-154,P
17,48,275,156,179,656,179,697,272,515,-140,P
18,49,279,157,180,657,180,699,278,515,-148,P
19,45,283,155,180,658,178,703,281,512,-154,P
20,42,287,157,180,658,180,704,287,514,-152,P
21,51,273,157,178,658,179,699,271,514,-141,P
22,58,269,153,179,657,180,697,269,506,-155,P
23,55,270,154,182,657,180,697,270,515,-138,P
24,56,268,155,180,657,180,697,265,508,-133,P
25,54,273,154,179,658,179,697,272,515,-160,P
26,48,277,154,182,658,182,699,276,516,-142,P
27,55,267,157,178,658,178,695,268,525,-143,P
28,50,275,154,183,659,184,700,272,511,-132,P
29,58,268,155,181,658,179,697,266,514,-140,P
30,53,272,152,180,656,180,695,272,513,-155,P
31,49,273,153,182,659,182,697,272,522,-140,P
32,54,272,155,181,659,181,699,272,516,-144,P
33,51,276,146,187,662,185,705,277,505,-149,P
34,51,274,153,181,658,181,698,272,513,-147,P
35,54,271,145,187,660,186,697,269,510,-149,P
36,61,263,147,185,659,185,694,263,510,-144,P
37,57,269,150,185,661,184,700,269,511,-141,P
38,56,270,150,184,660,184,696,268,516,-150,P
39,54,273,149,185,661,186,698,270,512,-151,P
40,55,271,141,191,661,192,694,271,515,-156,P
41,54,275,137,197,662,198,695,273,508,-151,P
42,51,274,142,187,658,186,694,274,513,-167,P
43,52,275,156,181,658,181,700,275,513,-141,P
44,44,280,156,179,658,177,702,279,518,-147,P
45,48,277,154,183,660,183,701,276,517,-138,P
46,48,278,156,179,659,179,701,278,518,-152,P
47,46,279,148,186,658,184,700,277,509,-143,P
48,52,275,153,184,660,184,699,275,518,-144,P
49,52,275,149,187,660,187,699,272,509,-139,P
50,57,271,148,186,660,186,701,272,502,-144,P
51,47,278,154,181,660,180,701,275,518,-148,P
52,44,280,155,180,659,181,701,279,518,-147,P
53,44,282,152,184,659,184,708,282,500,-131,P
54,44,282,157,183,660,183,701,279,523,-137,P
55,48,281,152,184,659,184,704,281,505,-145,P
56,48,278,153,183,662,184,702,278,520,-149,P
57,41,283,149,184,662,183,702,282,523,-158,P
58,44,282,145,186,663,184,705,280,511,-161,P
59,40,288,142,191,662,191,706,288,505,-154,P
60,43,283,155,178,659,177,705,282,512,-156,P
61,42,285,156,180,656,181,705,283,502,-138,P
62,43,286,152,183,658,183,704,286,507,-152,P
63,41,284,155,181,659,178,702,282,522,-150,P
64,39,289,153,182,661,183,706,287,513,-155,P
65,43,282,153,182,661,181,706,281,513,-145,P
66,44,286,155,178,658,177,704,285,510,-167,P
67,62,263,153,179,658,179,694,263,514,-154,P
68,69,256,154,180,660,181,693,257,518,-145,P
69,68,256,154,179,654,178,686,256,519,-147,P
70,75,248,154,181,660,180,688,247,527,-135,P
71,78,245,156,180,656,180,683,245,527,-129,P
72,76,248,158,180,655,181,684,249,524,-123,P
73,74,251,155,180,658,179,687,250,525,-144,P
74,71,249,156,180,659,178,688,251,536,-128,P
75,71,254,154,181,661,180,690,254,531,-150,P
76,69,259,153,181,659,182,693,259,511,-151,P
77,65,261,155,178,656,179,695,261,502,-142,P
78,62,265,154,181,659,181,696,264,512,-145,P
79,61,266,153,181,659,182,696,267,513,-151,P
80,55,270,155,179,656,178,695,270,516,-149,P
81,58,268,157,180,657,179,696,269,518,-140,P
82,48,278,153,178,656,178,699,276,507,-159,P
83,50,276,154,180,658,179,702,275,508,-146,P
84,52,274,152,183,661,183,698,273,522,-153,P
85,48,272,154,180,657,179,698,270,515,-133,P
86,41,286,155,181,659,180,704,285,516,-151,P
87,38,287,155,181,658,180,703,286,518,-147,P
88,58,265,155,179,658,178,697,263,512,-137,P
89,55,268,155,183,659,182,696,267,523,-129,P
90,66,259,157,179,658,178,691,258,524,-143,P
91,47,279,153,181,659,182,700,278,515,-153,P
92,52,274,155,178,656,178,700,272,503,-146,P
93,46,284,156,180,656,179,700,282,512,-156,P
94,48,278,154,180,656,178,698,275,513,-151,P
95,52,274,153,181,660,180,702,273,511,-148,P
