frame,BL_x,BL_y,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,VP_x,VP_y,Clss
1,0,0,0,0,0,0,0,0,-2147483648,-2147483648,N
2,128,243,215,139,614,139,703,246,415,-100,P
3,129,245,219,139,614,137,702,247,423,-101,P
4,127,240,218,139,614,140,697,240,423,-88,P
5,124,242,216,138,612,138,699,243,420,-92,P
6,125,242,215,137,612,138,698,243,417,-98,P
7,126,242,216,139,612,139,701,241,414,-87,P
8,128,241,216,138,613,139,700,241,414,-93,P
9,127,244,215,139,615,140,702,245,415,-99,P
10,127,242,215,136,610,137,701,242,407,-95,P
11,126,243,217,139,613,139,702,243,417,-89,P
12,126,241,217,138,611,138,699,242,418,-89,P
13,125,241,218,138,611,139,698,242,420,-85,P
14,127,240,218,138,611,140,700,240,413,-80,P
15,128,242,219,138,611,138,698,242,419,-90,P
16,126,242,214,136,608,135,699,242,409,-98,P
17,123,244,220,138,612,138,699,244,426,-87,P
18,123,242,218,137,611,136,701,244,423,-89,P
19,127,242,218,137,612,137,702,241,415,-90,P
20,125,242,219,136,612,136,699,242,423,-94,P
21,126,244,219,136,608,137,701,245,413,-89,P
22,128,241,217,138,613,140,700,241,414,-89,P
23,127,240,216,140,615,140,697,241,424,-93,P
24,126,244,217,140,615,139,703,244,420,-92,P
25,125,240,215,139,612,138,698,240,419,-89,P
26,126,238,220,135,610,136,699,238,418,-81,P
27,125,240,216,139,613,138,697,241,424,-91,P
28,126,240,217,140,614,140,699,240,422,-85,P
29,128,240,216,140,613,141,698,240,416,-87,P
30,128,237,215,139,612,140,695,237,416,-87,P
31,129,240,217,139,613,139,698,241,419,-92,P
32,128,239,216,140,613,140,696,238,419,-88,P
33,127,240,217,140,614,141,698,240,420,-85,P
34,128,239,216,141,614,142,697,240,420,-86,P
35,128,239,218,139,612,140,698,240,419,-84,P
36,126,238,215,141,615,141,697,239,424,-86,P
37,129,240,218,139,612,139,698,240,418,-87,P
38,129,239,217,140,616,142,697,240,422,-90,P
39,129,241,216,138,613,140,701,242,411,-92,P
40,126,239,217,138,611,138,698,240,419,-86,P
41,126,238,214,141,616,141,698,238,422,-88,P
42,129,238,217,140,614,141,696,239,422,-88,P
