frame,BL_x,BL_y,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,VP_x,VP_y,Clss
1,67,197,108,125,485,122,566,196,238,-103,P
2,67,194,108,129,492,128,561,193,251,-97,P
3,67,195,108,130,491,129,565,194,244,-85,P
4,68,195,106,131,492,132,563,195,238,-91,P
5,65,195,106,133,493,133,561,193,248,-81,P
6,66,196,105,132,491,132,558,193,242,-92,P
7,69,193,105,135,495,135,555,193,251,-100,P
8,70,193,106,134,499,133,563,192,247,-97,P
9,68,194,105,133,495,133,560,193,244,-96,P
10,67,194,108,127,487,125,560,193,246,-98,P
11,68,195,106,129,487,127,561,193,236,-96,P
12,69,193,106,132,492,128,558,190,247,-100,P
13,70,191,106,131,491,130,560,190,238,-89,P
14,72,190,106,131,493,128,560,190,241,-103,P
15,69,194,106,129,486,128,561,192,230,-88,P
16,71,192,107,130,495,129,562,191,242,-102,P
17,69,190,106,130,491,131,557,190,242,-90,P
18,70,195,109,131,490,130,561,195,245,-92,P
19,71,190,108,128,488,125,558,187,240,-93,P
20,70,189,107,131,492,131,557,189,246,-86,P
21,71,189,108,128,487,128,556,189,240,-89,P
22,70,191,107,134,498,133,559,188,251,-87,P
23,70,191,109,129,493,130,557,190,251,-96,P
24,67,192,110,129,489,130,562,194,251,-77,P
25,67,193,105,132,497,132,560,192,250,-100,P
26,70,190,109,126,486,125,555,189,245,-97,P
27,68,190,107,131,492,129,557,188,252,-88,P
28,72,189,103,134,497,133,553,185,238,-105,P
29,72,194,110,128,488,127,561,194,241,-99,P
30,69,194,107,129,491,126,559,195,251,-117,P
31,71,192,108,130,491,130,560,191,240,-91,P
32,70,192,106,136,500,137,559,190,249,-86,P
33,70,193,105,134,500,134,561,190,244,-100,P
34,72,191,107,135,498,133,561,190,249,-92,P
35,70,191,107,133,497,133,558,190,252,-94,P
36,70,191,106,135,495,134,557,188,246,-82,P
37,69,191,104,134,495,132,556,189,247,-98,P
38,70,189,110,132,493,133,555,188,256,-76,P
39,71,189,107,132,492,131,559,189,243,-83,P
40,71,191,108,129,488,127,559,186,234,-82,P
41,66,194,106,127,489,123,564,191,242,-100,P
42,71,190,105,133,497,133,558,187,240,-93,P
43,68,192,108,127,491,126,561,191,247,-98,P
44,66,193,108,128,488,126,559,190,248,-88,P
45,68,195,109,129,490,125,559,194,256,-107,P
46,69,192,110,130,493,127,561,191,258,-93,P
47,67,192,106,128,491,127,562,190,241,-93,P
48,68,192,109,130,492,129,560,190,252,-86,P
49,65,193,110,128,486,127,565,191,245,-67,P
50,66,192,106,126,486,125,558,191,242,-98,P
51,67,194,108,129,492,127,562,191,249,-94,P
52,68,193,110,123,485,122,562,190,240,-93,P
53,66,194,109,127,488,127,564,193,244,-83,P
54,66,194,109,128,491,126,561,192,255,-96,P
55,67,196,106,129,485,128,560,198,239,-99,P
56,64,195,109,130,494,130,560,194,263,-92,P
57,63,198,109,129,491,129,563,196,255,-90,P
58,68,197,108,126,484,125,564,194,231,-92,P
59,67,197,105,130,492,127,564,195,241,-109,P
60,69,192,112,125,483,122,559,189,247,-85,P
61,70,193,109,130,488,127,558,192,248,-94,P
62,67,193,107,127,482,126,558,192,236,-85,P
63,68,192,110,126,488,124,560,191,251,-95,P
64,63,195,105,127,481,122,560,194,242,-94,P
65,68,192,108,126,485,124,555,186,240,-91,P
66,70,194,109,126,486,123,560,193,242,-105,P
67,65,196,109,126,487,127,561,195,246,-91,P
68,65,192,107,126,482,124,557,192,245,-90,P
69,69,196,107,131,494,130,564,196,244,-103,P
70,71,194,108,130,492,130,562,192,238,-94,P
71,67,194,107,129,491,129,559,193,247,-98,P
72,68,192,107,130,493,129,560,190,247,-92,P
73,67,193,109,128,489,128,558,191,250,-90,P
74,70,191,110,129,491,130,559,189,246,-81,P
75,68,194,108,129,487,130,560,190,234,-75,P
76,70,194,109,128,489,128,564,194,239,-92,P
77,71,193,110,128,488,127,558,192,245,-97,P
78,67,193,108,130,489,130,556,190,248,-85,P
79,66,194,107,131,496,131,564,195,254,-94,P
80,69,193,106,129,489,129,562,193,234,-92,P
81,67,195,107,129,490,128,563,194,242,-93,P
82,67,193,105,130,494,130,559,189,242,-97,P
83,65,194,106,128,486,128,560,193,240,-87,P
84,66,194,108,128,487,128,559,193,246,-88,P
85,68,193,107,129,489,127,558,190,244,-95,P
86,65,195,108,130,492,131,562,195,252,-87,P
87,69,191,106,129,490,128,560,188,236,-88,P
88,66,194,110,129,489,128,561,193,254,-83,P
89,68,194,109,128,489,128,560,193,246,-92,P
90,66,196,107,128,488,126,564,194,241,-94,P
91,66,195,110,129,489,129,563,195,251,-82,P
92,69,196,110,127,489,127,565,194,240,-91,P
93,66,194,108,128,487,126,560,192,247,-90,P
94,69,192,107,131,494,132,559,192,247,-93,P
95,71,190,106,133,499,133,564,190,243,-90,P
96,72,191,111,128,489,129,558,190,244,-86,P
97,67,196,105,131,492,132,561,192,235,-91,P
98,68,192,109,127,485,124,560,191,245,-88,P
99,69,193,107,130,491,128,561,190,241,-92,P
100,68,193,106,127,486,124,562,192,236,-98,P
101,69,191,107,132,491,131,557,190,247,-85,P
102,68,190,108,130,490,128,556,192,258,-95,P
103,70,191,107,128,488,127,557,190,240,-98,P
104,68,191,104,133,498,130,558,189,254,-108,P
105,67,189,106,130,488,129,558,190,246,-81,P
106,70,191,107,132,496,134,555,190,251,-97,P
107,68,185,108,128,491,126,554,184,259,-87,P
108,75,184,107,132,495,130,552,184,250,-100,P
109,69,190,110,130,490,129,557,190,256,-83,P
110,71,192,103,136,498,136,559,191,237,-98,P
111,71,195,108,136,495,136,562,193,242,-77,P
112,67,196,102,140,506,140,564,195,252,-100,P
113,69,193,101,140,506,138,561,188,245,-98,P
114,71,192,106,137,504,137,560,187,250,-89,P
115,71,191,105,137,500,138,560,192,247,-88,P
116,65,200,105,138,503,134,563,197,267,-113,P
117,67,202,100,142,504,138,578,192,217,-70,P
118,61,202,98,139,504,136,569,198,244,-109,P
119,65,204,92,156,525,154,575,203,246,-117,P
120,65,207,88,163,534,161,581,209,243,-133,P
