frame,BL_x,BL_y,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,VP_x,VP_y,Clss
1,187,103,264,70,524,71,557,104,445,-7,P
2,187,102,263,70,524,71,556,103,445,-6,P
3,189,101,263,71,525,72,556,102,446,-3,P
4,188,102,264,71,525,73,558,103,442,-1,P
5,189,102,262,70,524,71,557,103,441,-8,P
6,190,101,261,72,527,72,556,102,451,-5,P
7,191,102,261,70,524,71,558,103,437,-10,P
8,192,102,261,71,525,72,556,102,440,-9,P
9,189,103,264,71,525,72,558,103,442,-4,P
10,190,103,260,71,526,73,558,104,439,-10,P
11,187,101,261,70,524,70,555,101,446,-7,P
12,189,102,262,72,527,73,557,103,449,-4,P
13,187,103,261,70,523,70,557,104,442,-10,P
14,190,101,261,71,524,72,556,102,441,-5,P
15,191,102,261,72,526,74,557,102,439,-4,P
16,190,102,261,71,524,71,558,103,440,-7,P
17,189,102,262,72,526,72,557,102,447,-4,P
18,190,101,262,71,525,72,557,102,443,-4,P
19,189,101,261,71,525,71,556,102,447,-6,P
20,189,103,262,71,525,72,558,104,442,-7,P
21,191,100,260,70,525,71,555,100,442,-9,P
22,190,101,261,71,525,72,558,102,440,-4,P
23,191,101,262,70,525,71,555,102,446,-10,P
24,189,103,262,72,527,73,557,103,447,-6,P
25,189,102,260,70,524,69,558,103,442,-12,P
26,190,102,262,71,526,71,558,102,444,-7,P
27,190,101,261,71,525,72,556,102,444,-6,P
28,191,102,260,71,524,73,560,101,425,-3,P
29,189,104,262,71,525,71,560,106,443,-10,P
30,192,100,260,71,524,72,554,101,442,-6,P
31,192,103,262,71,526,72,557,104,444,-12,P
32,188,103,261,70,523,71,557,103,437,-9,P
33,190,102,262,70,523,70,558,103,439,-8,P
34,190,99,262,71,524,71,552,99,450,-2,P
35,191,102,263,70,523,70,558,101,436,-6,P
36,189,104,261,71,526,72,558,105,443,-12,P
37,191,101,262,70,524,72,555,101,439,-7,P
38,192,101,262,72,526,73,554,100,445,-3,P
39,191,100,261,71,525,72,555,101,445,-5,P
40,190,103,262,71,525,72,557,104,443,-9,P
41,191,101,262,71,524,72,555,101,441,-4,P
42,189,102,262,71,525,72,558,103,442,-5,P
43,192,102,261,70,522,71,557,103,433,-9,P
44,191,102,261,70,524,71,557,103,439,-11,P
45,189,102,261,70,524,71,558,103,438,-8,P
46,192,101,261,71,525,72,556,102,442,-7,P
47,191,102,264,71,522,71,557,103,440,-3,P
48,193,100,261,71,524,72,555,102,442,-6,P
49,191,101,263,71,525,71,555,101,447,-5,P
50,193,99,261,70,524,71,553,98,440,-6,P
51,191,101,261,69,522,70,554,102,439,-12,P
52,190,102,263,70,524,72,556,102,439,-7,P
53,191,100,261,71,524,72,554,100,442,-3,P
54,191,102,263,70,524,71,557,102,439,-8,P
55,190,100,262,71,526,72,556,101,447,-3,P
56,190,100,262,70,524,71,555,99,440,-4,P
57,191,101,260,71,525,73,556,102,439,-6,P
58,189,101,264,70,523,69,555,102,449,-6,P
59,195,101,263,71,523,72,555,102,439,-6,P
60,191,102,261,70,523,71,556,102,436,-10,P
61,191,100,262,73,526,74,553,101,452,0,P
62,191,99,260,70,525,70,555,100,446,-8,P
63,190,100,261,71,524,71,555,100,444,-3,P
64,191,98,259,72,526,73,554,99,447,0,P
65,192,100,262,70,524,71,555,101,442,-7,P
66,191,99,261,71,525,71,554,99,447,-3,P
67,193,100,261,70,524,71,556,101,439,-8,P
68,192,100,260,72,526,72,555,101,448,-5,P
69,191,100,262,72,527,73,555,100,449,-1,P
70,189,101,263,69,522,70,554,100,439,-7,P
71,191,101,263,70,524,71,555,101,442,-7,P
72,189,102,262,70,523,71,557,103,439,-7,P
73,190,100,263,71,523,72,554,101,444,0,P
74,189,101,261,71,524,71,554,100,444,-5,P
75,192,101,261,72,526,70,555,101,452,-8,P
76,187,101,263,71,525,72,557,102,446,-1,P
77,191,101,263,69,524,70,557,102,441,-10,P
78,191,101,262,71,525,71,558,102,443,-5,P
79,191,100,260,73,527,73,555,99,447,0,P
80,189,100,263,71,526,72,557,101,447,-1,P
81,191,102,262,68,521,69,557,103,433,-13,P
82,191,102,262,70,523,69,557,99,435,-7,P
