frame,BL_x,BL_y,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,VP_x,VP_y,Clss
1,170,227,245,134,623,136,709,230,421,-84,P
2,169,223,244,135,624,136,705,224,426,-78,P
3,169,224,247,133,622,134,705,226,429,-79,P
4,170,225,245,133,622,135,706,227,421,-82,P
5,169,223,244,135,625,137,704,225,428,-80,P
6,172,223,245,134,624,137,704,222,420,-79,P
7,171,224,246,134,623,136,704,225,425,-80,P
8,167,227,242,134,623,135,707,228,421,-87,P
9,170,225,245,134,623,136,707,225,420,-78,P
10,170,225,245,133,622,135,707,227,420,-81,P
11,171,225,244,135,625,136,706,226,424,-86,P
12,171,224,245,134,623,135,706,226,423,-82,P
13,171,225,245,136,625,138,705,226,425,-80,P
14,171,224,245,133,622,135,704,224,420,-82,P
15,168,225,245,133,619,133,706,226,421,-77,P
16,169,225,245,134,622,134,707,225,422,-77,P
17,169,223,245,134,623,136,704,224,426,-77,P
18,168,225,243,133,622,135,705,226,421,-85,P
19,168,224,244,132,620,133,704,225,422,-83,P
20,169,224,244,134,622,135,706,226,422,-79,P
21,171,224,244,133,622,135,703,224,420,-86,P
22,169,224,245,133,620,134,704,224,421,-77,P
23,171,225,244,135,622,136,705,226,420,-81,P
24,170,225,245,134,622,134,705,226,424,-83,P
25,169,222,244,135,624,136,704,223,427,-77,P
26,169,223,242,135,623,137,703,224,421,-80,P
27,170,223,244,134,622,135,704,225,423,-81,P
28,172,223,245,134,622,134,703,224,424,-84,P
29,168,225,243,136,624,137,705,225,424,-78,P
30,168,225,245,134,623,135,706,227,427,-81,P
31,170,221,244,133,622,134,702,222,425,-82,P
32,170,225,243,134,622,135,706,225,417,-82,P
33,170,223,245,133,621,133,704,223,423,-80,P
34,171,224,244,134,622,135,705,225,420,-82,P
35,171,222,244,135,623,136,703,221,422,-77,P
36,170,223,243,135,624,135,704,223,424,-83,P
37,169,223,244,135,624,136,704,224,427,-79,P
38,168,224,240,134,622,136,706,225,414,-83,P
39,169,225,243,134,622,134,707,226,420,-83,P
40,170,224,247,133,622,134,705,224,425,-77,P
41,172,223,244,134,622,135,705,224,419,-82,P
42,170,223,244,133,622,133,706,224,422,-83,P
43,172,224,245,134,623,135,704,224,422,-84,P
44,172,225,245,132,619,133,706,225,414,-83,P
45,169,223,243,134,621,135,703,224,421,-80,P
46,169,226,245,133,621,134,706,226,421,-82,P
47,169,225,245,133,621,133,706,226,423,-82,P
48,170,224,245,134,623,134,706,224,424,-80,P
49,171,222,246,134,622,134,703,221,425,-76,P
50,170,225,244,133,622,134,706,225,419,-84,P
51,170,224,244,134,623,135,704,224,423,-83,P
52,170,223,245,134,622,135,706,225,423,-77,P
53,170,225,245,133,620,134,706,227,420,-81,P
54,172,224,244,132,622,133,704,223,418,-90,P
55,170,224,243,135,624,136,705,226,424,-85,P
56,170,223,244,134,623,135,705,225,424,-82,P
57,171,223,245,132,622,134,704,224,421,-84,P
58,170,225,244,130,618,129,706,224,415,-89,P
59,170,224,246,132,620,132,706,225,422,-81,P
60,169,224,242,134,622,134,705,225,420,-85,P
61,169,224,243,133,621,135,705,223,416,-79,P
62,170,223,243,134,624,135,702,222,424,-86,P
