;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2013-10-08 21:27:27
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF016EFF6  	GOTO        11756
_Interrupt:
0x0008	0xF01FC000  	MOVFF       R0, 31
0x000C	0xF01EC001  	MOVFF       R1, 30
0x0010	0xF01DC002  	MOVFF       R2, 29
0x0014	0xF01CC003  	MOVFF       R3, 28
0x0018	0xF01BC004  	MOVFF       R4, 27
0x001C	0xF01AC005  	MOVFF       R5, 26
0x0020	0xF019C006  	MOVFF       R6, 25
0x0024	0xF018C008  	MOVFF       R8, 24
0x0028	0xF017C009  	MOVFF       R9, 23
0x002C	0xF016C00A  	MOVFF       R10, 22
0x0030	0xF015C00B  	MOVFF       R11, 21
0x0034	0xF028CFE1  	MOVFF       FSR1, 40
0x0038	0xF029CFE2  	MOVFF       FSR1H, 41
0x003C	0xF026CFE9  	MOVFF       FSR0, 38
0x0040	0xF027CFEA  	MOVFF       FSR0H, 39
0x0044	0xF024CFF3  	MOVFF       PROD, 36
0x0048	0xF025CFF4  	MOVFF       PRODH, 37
0x004C	0xF023CFF5  	MOVFF       TABLAT, 35
0x0050	0xF020CFF8  	MOVFF       TBLPTRU, 32
0x0054	0xF021CFF7  	MOVFF       TBLPTRH, 33
0x0058	0xF022CFF6  	MOVFF       TBLPTR, 34
0x005C	0xF014EC54  	CALL        _USB_Interrupt_Proc, 0
L__Interrupt109:
0x0060	0xFFF5C023  	MOVFF       35, TABLAT
0x0064	0xFFF8C020  	MOVFF       32, TBLPTRU
0x0068	0xFFF7C021  	MOVFF       33, TBLPTRH
0x006C	0xFFF6C022  	MOVFF       34, TBLPTR
0x0070	0xFFF3C024  	MOVFF       36, PROD
0x0074	0xFFF4C025  	MOVFF       37, PRODH
0x0078	0xF000C01F  	MOVFF       31, R0
0x007C	0xF001C01E  	MOVFF       30, R1
0x0080	0xF002C01D  	MOVFF       29, R2
0x0084	0xF003C01C  	MOVFF       28, R3
0x0088	0xF004C01B  	MOVFF       27, R4
0x008C	0xF005C01A  	MOVFF       26, R5
0x0090	0xF006C019  	MOVFF       25, R6
0x0094	0xF008C018  	MOVFF       24, R8
0x0098	0xF009C017  	MOVFF       23, R9
0x009C	0xF00AC016  	MOVFF       22, R10
0x00A0	0xF00BC015  	MOVFF       21, R11
0x00A4	0xFFE9C026  	MOVFF       38, FSR0
0x00A8	0xFFEAC027  	MOVFF       39, FSR0H
0x00AC	0xFFE1C028  	MOVFF       40, FSR1
0x00B0	0xFFE2C029  	MOVFF       41, FSR1H
0x00B4	0x0011      	RETFIE      1
; end of _Interrupt
__Lib_USB_genHID_USB_Configure_Endpoint:
0x00B6	0x0E00      	MOVLW       __Lib_USB_genHID_BDT
0x00B8	0x6E05      	MOVWF       R5 
0x00BA	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT)
0x00BC	0x6E06      	MOVWF       R6 
0x00BE	0xF003C32B  	MOVFF       FARG___Lib_USB_genHID_USB_Configure_Endpoint_EPNum, R3
0x00C2	0x0E00      	MOVLW       0
0x00C4	0x6E04      	MOVWF       R4 
0x00C6	0x3603      	RLCF        R3, 1 
0x00C8	0x3604      	RLCF        R4, 1 
0x00CA	0x9003      	BCF         R3, 0 
0x00CC	0x3603      	RLCF        R3, 1 
0x00CE	0x3604      	RLCF        R4, 1 
0x00D0	0x9003      	BCF         R3, 0 
0x00D2	0xF000C32C  	MOVFF       FARG___Lib_USB_genHID_USB_Configure_Endpoint_direction, R0
0x00D6	0x0E00      	MOVLW       0
0x00D8	0x6E01      	MOVWF       R1 
0x00DA	0x3600      	RLCF        R0, 1 
0x00DC	0x3601      	RLCF        R1, 1 
0x00DE	0x9000      	BCF         R0, 0 
0x00E0	0x5000      	MOVF        R0, 0 
0x00E2	0x2603      	ADDWF       R3, 1 
0x00E4	0x5001      	MOVF        R1, 0 
0x00E6	0x2204      	ADDWFC      R4, 1 
0x00E8	0xF001C003  	MOVFF       R3, R1
0x00EC	0xF002C004  	MOVFF       R4, R2
0x00F0	0x3601      	RLCF        R1, 1 
0x00F2	0x9001      	BCF         R1, 0 
0x00F4	0x3602      	RLCF        R2, 1 
0x00F6	0x3601      	RLCF        R1, 1 
0x00F8	0x9001      	BCF         R1, 0 
0x00FA	0x3602      	RLCF        R2, 1 
0x00FC	0xF003C001  	MOVFF       R1, R3
0x0100	0xF004C002  	MOVFF       R2, R4
0x0104	0x3204      	RRCF        R4, 1 
0x0106	0x3203      	RRCF        R3, 1 
0x0108	0x9E04      	BCF         R4, 7 
0x010A	0xBC04      	BTFSC       R4, 6 
0x010C	0x8E04      	BSF         R4, 7 
0x010E	0x3204      	RRCF        R4, 1 
0x0110	0x3203      	RRCF        R3, 1 
0x0112	0x9E04      	BCF         R4, 7 
0x0114	0xBC04      	BTFSC       R4, 6 
0x0116	0x8E04      	BSF         R4, 7 
0x0118	0xF000C003  	MOVFF       R3, R0
0x011C	0xF001C004  	MOVFF       R4, R1
0x0120	0x3600      	RLCF        R0, 1 
0x0122	0x9000      	BCF         R0, 0 
0x0124	0x3601      	RLCF        R1, 1 
0x0126	0x3600      	RLCF        R0, 1 
0x0128	0x9000      	BCF         R0, 0 
0x012A	0x3601      	RLCF        R1, 1 
0x012C	0x5005      	MOVF        R5, 0 
0x012E	0x2600      	ADDWF       R0, 1 
0x0130	0x5006      	MOVF        R6, 0 
0x0132	0x2201      	ADDWFC      R1, 1 
0x0134	0xF005C000  	MOVFF       R0, R5
0x0138	0xF006C001  	MOVFF       R1, R6
0x013C	0xFFE1C000  	MOVFF       R0, FSR1
0x0140	0xFFE2C001  	MOVFF       R1, FSR1H
0x0144	0x9EE6      	BCF         POSTINC1, 7 
0x0146	0x0103      	MOVLB       3
0x0148	0x512C      	MOVF        FARG___Lib_USB_genHID_USB_Configure_Endpoint_direction, 0, 1
0x014A	0x0A00      	XORLW       0
0x014C	0xE112      	BNZ         L___Lib_USB_genHID_USB_Configure_Endpoint191
0x014E	0xF000C32B  	MOVFF       FARG___Lib_USB_genHID_USB_Configure_Endpoint_EPNum, R0
0x0152	0x0E00      	MOVLW       0
0x0154	0x6E01      	MOVWF       R1 
0x0156	0x3600      	RLCF        R0, 1 
0x0158	0x9000      	BCF         R0, 0 
0x015A	0x3601      	RLCF        R1, 1 
0x015C	0x0EE5      	MOVLW       __Lib_USB_genHID_BDTEntry_OutPtr
0x015E	0x2400      	ADDWF       R0, 0 
0x0160	0x6EE1      	MOVWF       FSR1 
0x0162	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_OutPtr)
0x0164	0x2001      	ADDWFC      R1, 0 
0x0166	0x6EE2      	MOVWF       FSR1H 
0x0168	0xFFE6C005  	MOVFF       R5, POSTINC1
0x016C	0xFFE6C006  	MOVFF       R6, POSTINC1
0x0170	0xD011      	BRA         L___Lib_USB_genHID_USB_Configure_Endpoint192
L___Lib_USB_genHID_USB_Configure_Endpoint191:
0x0172	0xF000C32B  	MOVFF       FARG___Lib_USB_genHID_USB_Configure_Endpoint_EPNum, R0
0x0176	0x0E00      	MOVLW       0
0x0178	0x6E01      	MOVWF       R1 
0x017A	0x3600      	RLCF        R0, 1 
0x017C	0x9000      	BCF         R0, 0 
0x017E	0x3601      	RLCF        R1, 1 
0x0180	0x0EE0      	MOVLW       __Lib_USB_genHID_BDTEntry_InPtr
0x0182	0x2400      	ADDWF       R0, 0 
0x0184	0x6EE1      	MOVWF       FSR1 
0x0186	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_InPtr)
0x0188	0x2001      	ADDWFC      R1, 0 
0x018A	0x6EE2      	MOVWF       FSR1H 
0x018C	0xFFE6C005  	MOVFF       R5, POSTINC1
0x0190	0xFFE6C006  	MOVFF       R6, POSTINC1
L___Lib_USB_genHID_USB_Configure_Endpoint192:
0x0194	0xFFE1C005  	MOVFF       R5, FSR1
0x0198	0xFFE2C006  	MOVFF       R6, FSR1H
0x019C	0x9CE6      	BCF         POSTINC1, 6 
0x019E	0x0E04      	MOVLW       4
0x01A0	0x2405      	ADDWF       R5, 0 
0x01A2	0x6EE1      	MOVWF       FSR1 
0x01A4	0x0E00      	MOVLW       0
0x01A6	0x2006      	ADDWFC      R6, 0 
